TRACE (ray tracing) @ frequency of    1700.00     Hz
Reg Path(Re)  TimeG(s) %dTimeG/T %dPath/WL    WL(km)    R(Re) Alt(km)    Lat^o   Long^o     L(Re)         F/Fge           F/FgH         n(cm-3)       %H+  %He+   %O+ LHR/kHz   RefrInd VeK^o AzK^o ThK^o ThG^o PhK^o Gen^o Res^o
 0 0.586     0.189      35.1      37.2      11.9      5.81598  30683.  -6.5100   1.3306   5.892             0.47120       865.12250            8.31 100.0   0.0   0.0   0.083  14.8     107.2 193.4 166.2 179.6 180.0 160.5 118.1
 0 0.593     0.191      35.0      37.1      11.9      5.81552  30680.  -6.5764   1.3466   5.893             0.47104       864.82513            8.31 100.0   0.0   0.0   0.083  14.8     107.0 193.4 166.5 179.6 180.0 160.4 118.1
 0 0.600     0.193      35.0      37.0      11.9      5.81504  30677.  -6.6428   1.3625   5.894             0.47087       864.51575            8.31 100.0   0.0   0.0   0.083  14.8     106.8 193.4 166.9 179.6 180.0 160.3 118.1
 0 0.607     0.195      34.9      37.0      12.0      5.81455  30673.  -6.7092   1.3785   5.895             0.47069       864.19568            8.32 100.0   0.0   0.0   0.083  14.7     106.6 193.4 167.2 179.6 180.0 160.3 118.1
 0 0.614     0.197      34.9      36.9      12.0      5.81404  30670.  -6.7756   1.3945   5.896             0.47051       863.86395            8.32 100.0   0.0   0.0   0.084  14.7     106.3 193.4 167.6 179.6 180.0 160.2 118.1
 0 0.621     0.199      34.8      36.9      12.0      5.81351  30667.  -6.8420   1.4105   5.897             0.47033       863.52148            8.32 100.0   0.0   0.0   0.084  14.7     106.1 193.4 167.9 179.6 180.0 160.2 118.1
 0 0.628     0.201      34.8      36.8      12.0      5.81296  30663.  -6.9084   1.4264   5.898             0.47013       863.16675            8.32 100.0   0.0   0.0   0.084  14.7     105.9 193.4 168.3 179.6 180.0 160.1 118.0
 0 0.634     0.203      34.7      36.8      12.0      5.81239  30660.  -6.9748   1.4424   5.899             0.46993       862.79926            8.32 100.0   0.0   0.0   0.084  14.6     105.7 193.4 168.6 179.6 180.0 160.0 118.0
 0 0.641     0.205      34.6      36.8      12.1      5.81181  30656.  -7.0412   1.4585   5.900             0.46973       862.42194            8.32 100.0   0.0   0.0   0.084  14.6     105.5 193.4 169.0 179.6 180.0 160.0 118.0
 0 0.648     0.207      34.6      36.7      12.1      5.81121  30652.  -7.1076   1.4745   5.902             0.46952       862.03363            8.32 100.0   0.0   0.0   0.084  14.6     105.3 193.5 169.3 179.6 180.0 159.9 118.0
 0 0.655     0.209      34.5      36.7      12.1      5.81060  30648.  -7.1741   1.4905   5.903             0.46930       861.63385            8.32 100.0   0.0   0.0   0.084  14.6     105.0 193.5 169.7 179.6 180.0 159.8 118.0
 0 0.662     0.211      34.5      36.6      12.1      5.80996  30644.  -7.2406   1.5065   5.904             0.46908       861.22394            8.32 100.0   0.0   0.0   0.084  14.6     104.8 193.5 170.1 179.6 180.0 159.7 118.0
 0 0.669     0.213      34.4      36.6      12.1      5.80931  30640.  -7.3071   1.5226   5.905             0.46885       860.80188            8.32 100.0   0.0   0.0   0.084  14.5     104.6 193.5 170.4 179.6 180.0 159.7 118.0
 0 0.676     0.215      34.4      36.6      12.1      5.80865  30636.  -7.3736   1.5386   5.906             0.46861       860.37018            8.32 100.0   0.0   0.0   0.084  14.5     104.4 193.5 170.8 179.6 180.0 159.6 117.9
 0 0.683     0.217      34.3      36.5      12.2      5.80796  30632.  -7.4401   1.5547   5.907             0.46837       859.92755            8.32 100.0   0.0   0.0   0.084  14.5     104.2 193.5 171.1 179.6 180.0 159.5 117.9
 0 0.690     0.219      34.3      36.5      12.2      5.80727  30627.  -7.5067   1.5708   5.908             0.46812       859.47504            8.32 100.0   0.0   0.0   0.084  14.5     103.9 193.5 171.5 179.6 180.0 159.4 117.9
 0 0.697     0.221      34.3      36.5      12.2      5.80655  30623.  -7.5734   1.5869   5.909             0.46787       859.00958            8.32 100.0   0.0   0.0   0.084  14.5     103.7 193.5 171.8 179.6 180.0 159.3 117.9
 0 0.704     0.223      34.2      36.4      12.2      5.80582  30618.  -7.6401   1.6030   5.910             0.46761       858.53363            8.33 100.0   0.0   0.0   0.084  14.4     103.5 193.5 172.2 179.6 180.0 159.3 117.9
